Ticker,Simulations,Mean Price,Actual Price,Percent Error
,,,,
GOOGL,1,111.7095226,171.3600006,34.810%
GOOGL,10,129.8356701,171.3600006,24.232%
GOOGL,100,155.6175548,171.3600006,9.187%
GOOGL,1000,164.6274915,171.3600006,3.929%
GOOGL,10000,169.6651849,171.3600006,0.989%
GOOGL,20000,171.3837636,171.3600006,-0.014%
GOOGL,50000,171.861087,171.3600006,-0.292%
GOOGL,100000,170.9050626,171.3600006,0.265%
,,,,
AMZN,1,123.1433249,213.5299988,42.330%
AMZN,10,270.8315501,213.5299988,-26.835%
AMZN,100,219.2827254,213.5299988,-2.694%
AMZN,1000,204.9652999,213.5299988,4.011%
AMZN,10000,212.0300393,213.5299988,0.702%
AMZN,20000,213.555093,213.5299988,-0.012%
AMZN,50000,213.3961511,213.5299988,0.063%
AMZN,100000,213.0892697,213.5299988,0.206%
,,,,
AAPL,1,66.88886481,241.8300018,72.341%
AAPL,10,247.5015102,241.8300018,-2.345%
AAPL,100,246.873807,241.8300018,-2.086%
AAPL,1000,249.092659,241.8300018,-3.003%
AAPL,10000,245.1074683,241.8300018,-1.355%
AAPL,20000,239.6511904,241.8300018,0.901%
AAPL,50000,242.8696863,241.8300018,-0.430%
AAPL,100000,241.3258334,241.8300018,0.208%
,,,,
BRK-A,1,1332019.065,755500,-76.310%
BRK-A,10,802395.0429,755500,-6.207%
BRK-A,100,825265.6792,755500,-9.234%
BRK-A,1000,768424.4267,755500,-1.711%
BRK-A,10000,754736.0694,755500,0.101%
BRK-A,20000,754269.3499,755500,0.163%
BRK-A,50000,756603.6583,755500,-0.146%
BRK-A,100000,754061.81,755500,0.190%
,,,,
AVGO,1,50.90223554,208.3150024,75.565%
AVGO,10,171.7109509,208.3150024,17.571%
AVGO,100,195.7723171,208.3150024,6.021%
AVGO,1000,206.0271345,208.3150024,1.098%
AVGO,10000,210.6730143,208.3150024,-1.132%
AVGO,20000,207.9124697,208.3150024,0.193%
AVGO,50000,206.9674032,208.3150024,0.647%
AVGO,100000,209.1541978,208.3150024,-0.403%
,,,,
LLY,1,1988.943499,912.0949707,-118.063%
LLY,10,868.5557957,912.0949707,4.774%
LLY,100,946.7554259,912.0949707,-3.800%
LLY,1000,899.0114,912.0949707,1.434%
LLY,10000,908.1935306,912.0949707,0.428%
LLY,20000,923.7907715,912.0949707,-1.282%
LLY,50000,913.7722464,912.0949707,-0.184%
LLY,100000,914.7809504,912.0949707,-0.294%
,,,,
JPM,1,372.2424973,261.3901978,-42.409%
JPM,10,205.9267279,261.3901978,21.219%
JPM,100,282.4334203,261.3901978,-8.051%
JPM,1000,268.4982963,261.3901978,-2.719%
JPM,10000,261.0394238,261.3901978,0.134%
JPM,20000,262.4567923,261.3901978,-0.408%
JPM,50000,261.557202,261.3901978,-0.064%
JPM,100000,261.7427455,261.3901978,-0.135%
,,,,
MA,1,817.2676838,561.2700195,-45.610%
MA,10,805.320033,561.2700195,-43.482%
MA,100,524.3419039,561.2700195,6.579%
MA,1000,583.5514103,561.2700195,-3.970%
MA,10000,573.1687919,561.2700195,-2.120%
MA,20000,566.2808997,561.2700195,-0.893%
MA,50000,570.0759956,561.2700195,-1.569%
MA,100000,570.0474083,561.2700195,-1.564%
,,,,
META,1,402.9325822,669.8549805,39.848%
META,10,1061.175631,669.8549805,-58.419%
META,100,569.7133164,669.8549805,14.950%
META,1000,650.4974009,669.8549805,2.890%
META,10000,657.5110997,669.8549805,1.843%
META,20000,670.6838369,669.8549805,-0.124%
META,50000,668.7688259,669.8549805,0.162%
META,100000,670.1671027,669.8549805,-0.047%
,,,,
MSFT,1,329.9224332,396.4624939,16.783%
MSFT,10,303.9125165,396.4624939,23.344%
MSFT,100,420.747986,396.4624939,-6.126%
